filename,chroma_stft,chroma_cqt,chroma_cens,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00000.wav,0.349943221,0.537810028,0.272217026,0.13022463,1784.420446,2002.650192,3806.485316,0.083066391,-113.5967484,121.5572968,-19.15882492,42.35102844,-6.376458168,18.6188755,-13.69791126,15.34463024,-12.28526688,10.98049164,-8.324324608,8.810668945,-3.667368174,5.751690865,-5.162762642,0.750947952,-1.691937566,-0.409952581,-2.300208569,1.219928503,blues
blues.00001.wav,0.340983212,0.476363599,0.26080779,0.095918424,1529.835316,2038.617579,3548.820207,0.056044257,-207.5567932,124.0067215,8.930560112,35.87468719,2.916036844,21.52372551,-8.554703712,23.35867119,-10.10361671,11.90374374,-5.560388088,5.376802921,-2.239119768,4.216963291,-6.012273312,0.936109304,-0.716536999,0.293875962,-0.287430882,0.531572819,blues
blues.00002.wav,0.363602847,0.443112701,0.262625886,0.175573036,1552.481958,1747.165985,3040.514948,0.076300748,-90.7543869,140.4598999,-29.10996819,31.68901253,-13.98703575,25.75475883,-13.64958668,11.62927055,-11.7805891,9.706442833,-13.12311077,5.789265156,-8.905223846,-1.08371985,-9.218358994,2.455806017,-7.726901054,-1.815722942,-3.433434248,-2.226821423,blues
blues.00003.wav,0.404778987,0.317226648,0.22636012,0.141191185,1070.119953,1596.333948,2185.028454,0.033308944,-199.4311523,150.0992126,5.647593021,26.87192726,1.754461408,14.23834515,-4.830882549,9.297966003,-0.75774163,8.149011612,-3.196314096,6.087676048,-2.476420879,-1.073890209,-2.874777555,0.78097707,-3.31693244,0.637981713,-0.619689941,-3.408233404,blues
blues.00004.wav,0.308590114,0.496903598,0.259588613,0.091563217,1835.494603,1748.362448,3580.945013,0.101500142,-160.266037,126.1987991,-35.60544968,22.15330124,-32.48926926,10.8645134,-23.35792923,0.503117979,-11.80583191,1.206804872,-13.0838213,-2.806383371,-6.934123039,-7.558618069,-9.173553467,-4.512164593,-5.453537941,-0.924160719,-4.409332275,-11.70378113,blues
blues.00005.wav,0.302346438,0.396875769,0.243007695,0.103467584,1831.942368,1729.483241,3480.937285,0.09403987,-177.8690491,118.196907,-17.55067444,30.75863457,-21.74274635,11.90380287,-20.73424721,3.180597544,-8.583483696,-0.936487317,-11.77627468,-2.420614243,-9.339365005,-9.939324379,-3.909892082,-5.570623875,-1.839023471,-2.778420925,-3.04686594,-8.115808487,blues
blues.00006.wav,0.291308016,0.376935601,0.233636527,0.141795814,1459.078483,1388.913312,2795.616429,0.073027903,-190.1494751,130.2969513,-36.34413528,33.01305008,11.1069355,-0.615158439,-20.86200905,0.270091087,-6.489759922,-5.517093182,-7.840328217,-3.125678301,-6.593118191,-9.942267418,-6.537224293,-10.06475353,-10.91217136,-6.972477913,-3.44903326,-6.495510101,blues
blues.00007.wav,0.307921052,0.406299144,0.240446618,0.131785482,1451.754147,1577.369917,2955.348796,0.061435003,-179.3954315,136.4592438,-26.65636253,39.98802567,5.289676666,10.92442799,-20.56188965,8.513765335,-11.35690975,-3.469076872,-8.41455555,-6.954826355,-3.544535637,-8.051241875,-8.959537506,-8.424336433,-10.55888367,-10.78815746,-4.693748474,-8.638612747,blues
blues.00008.wav,0.409037143,0.47931993,0.26834278,0.142438099,1719.213163,2031.643884,3781.318802,0.06402758,-121.3610229,122.5131073,-14.74212837,46.14344406,-8.165332794,20.17652512,-19.17247581,23.05561638,-11.83050251,21.17700958,-6.721190453,7.010944843,-12.74183369,5.066004276,-5.175477505,-1.444024205,-7.037070274,2.697451591,3.409808636,-2.698352814,blues
blues.00009.wav,0.274009228,0.390535921,0.240141206,0.081352018,1817.516386,1973.73907,3944.451148,0.079215318,-213.1808014,115.1527939,-11.71626663,39.02946854,-20.3527565,13.08240509,-9.173481941,9.016148567,-14.0979147,4.278178215,-6.039595127,3.784771442,0.225667521,-5.113637447,-0.413064212,-1.184537172,-1.920714378,-2.29372716,2.891265869,-4.233204365,blues
blues.00010.wav,0.303954512,0.45107457,0.25564456,0.142939135,1410.469096,1512.620983,2767.274933,0.062980723,-173.7075043,137.1564026,-23.76651764,26.98937035,-16.6684227,4.198450089,-12.56663036,5.834843636,-2.881736279,-1.208680868,-1.965736389,1.800535202,-2.98837471,-1.86938858,-0.80015558,-3.023781776,-0.445196182,-1.998227477,-0.743598759,-4.986112595,blues
blues.00011.wav,0.367137492,0.316098124,0.220049915,0.065712959,1353.260462,1757.230941,2882.224238,0.043958918,-287.9149475,123.980072,5.459750652,33.67809296,1.091914773,14.70447063,-4.898553371,8.654901505,0.784047961,6.570927143,-4.878658295,-3.180865765,-5.556420803,-6.789626598,-2.644639492,-2.984926224,-3.385201454,-1.856389403,1.836150646,-4.89741993,blues
blues.00012.wav,0.269320011,0.419306368,0.252274477,0.119071715,1361.045467,1567.804596,2739.625101,0.069123921,-207.2080841,132.7991791,-15.43898487,60.98672104,0.725807488,12.43782616,1.183836579,-1.540780425,-17.88815308,8.358494759,-2.452067137,-0.613248467,0.384877682,2.605127335,-5.188923359,-9.527454376,-9.244393349,-2.848273516,-1.418706894,-5.932606697,blues
blues.00013.wav,0.264615864,0.467721939,0.25479547,0.113221161,1324.304356,1827.737535,2710.033613,0.051417301,-209.7892609,124.4584427,10.31037807,47.01800537,6.510235786,15.40544987,-1.992710948,6.717406273,-21.5541935,10.72171688,-5.524966717,-2.205934048,-3.038192987,8.645517349,-0.304230541,-0.637742579,-2.939884663,-1.705921888,-1.769589782,-7.762957573,blues
blues.00014.wav,0.329162717,0.466227949,0.2531561,0.066980533,1172.065695,1705.817502,2344.952487,0.045045835,-305.7051697,113.0609283,12.11872005,45.03000259,17.76975632,14.57991791,4.166731834,0.225274339,-7.021748066,13.6442709,8.934528351,1.298478603,5.954476833,8.543867111,1.11766398,0.591559231,0.057474047,-3.71234107,-1.004447699,-1.802434325,blues
blues.00015.wav,0.270312548,0.467442036,0.260358231,0.080653198,1420.529293,1731.192252,2930.540613,0.06371768,-238.5189667,120.0845566,-4.227884293,42.30707169,5.920908451,13.91915989,5.361618519,1.901833534,-16.93320274,12.34527397,3.947015524,-1.384822488,0.021880396,3.586693764,-4.503952026,-5.542268276,-6.888212204,-4.828141689,1.735005617,-1.888814569,blues
blues.00016.wav,0.304322213,0.508878469,0.270223726,0.081461444,1455.001672,1825.885415,3009.8568,0.061350725,-233.7635956,120.6735229,-3.171084642,39.54099274,3.857456207,18.8404274,-3.691824913,4.431853771,-14.97804356,17.56764793,1.840066195,2.537328959,-1.240454793,8.439245224,-0.210691705,-3.906118393,-4.478782654,-0.012436244,1.293613434,-2.08479619,blues
blues.00017.wav,0.302096277,0.478717268,0.263233651,0.093281545,1088.698166,1410.947954,2134.412094,0.048323971,-245.7564392,140.4859161,-2.764771223,60.43620682,18.93794632,9.833540916,3.563889265,0.532685757,-16.37224007,6.630079269,7.268407822,-4.008892536,1.608253717,5.8993783,-3.022785187,-4.772989273,-3.025786638,-1.993938446,-0.055458896,-3.975349665,blues
